0 99945390 144922 128
0 99939611 139142 101
1 100000000 79164 0
2 99768582 548175 254
3 99551788 565186 566
4 99351196 570528 863
5 99140838 608626 1045
6 98941688 529685 1367
7 98829620 545446 1683
8 99461528 631908 1879
9 99349840 418267 2230
10 99912271 563964 1166
11 99789222 447103 405
12 99999999 213241 0
13 99786696 603987 237
14 99690756 596377 471
15 99999900 310444 0
16 99789937 609046 280
17 99578412 588226 527
18 99361177 612294 791
19 99067228 415065 1255
20 98929087 365013 1751
21 98715110 594390 2054
22 99353488 638378 1906
23 99148684 587082 2181
24 98953854 538110 1421
25 98732835 601069 1590
26 98602407 344052 2212
27 98413157 545795 2415
28 98223887 541684 2359
29 98874097 650210 2562
30 99513619 639522 2746
31 100000000 486382 0
32 99787632 595796 293
33 99617201 518457 669
34 99999999 383283 0
35 99827500 502248 246
36 99608710 631736 429
37 99410318 573096 726
38 99216290 559395 1034
39 99015573 607214 1287
40 98835050 539793 1592
41 98720093 349776 2106
42 98530811 560690 2386
43 98320771 607859 2124
44 98135600 541186 2451
45 97946695 560377 2772
46 98594894 648199 2963
47 99281617 686723 3005
48 99921137 639520 3193
49 99999978 78864 0
50 99778589 591718 304
51 99585078 594282 547
52 100000000 414923 0
53 99777968 587883 302
54 99549419 628453 490
55 99459071 359247 1109
56 100000000 540930 0
57 99776219 596509 299
58 99556639 576052 553
59 99331885 611159 813
60 99131627 553142 1126
61 98987794 402902 1603
62 98764552 523645 1937
63 98515387 563391 1919
64 98315169 532365 2264
65 98112806 537946 2559
66 98750792 637986 2661
67 99327153 576361 2933
68 99750790 423637 3373
69 100000000 249211 0
70 99823525 516426 249
71 99624730 632743 415
72 99431435 573683 708
73 99248120 554195 1017
74 99046529 606941 1253
75 98922751 365899 1790
76 99564735 641984 1553
77 100000000 435266 0
78 99787094 621936 292
79 100000000 212907 0
80 99770915 630620 249
81 99559613 589651 548
82 99362660 567466 856
83 99129783 579027 1155
84 99772979 643196 1347
85 99572244 589940 543
86 99370968 564443 846
87 99152837 610824 1021
88 98964387 530603 1346
89 98778682 530654 1665
90 98568822 602266 1890
91 98461770 318966 2437
92 98275461 554937 2714
93 98066470 588989 3056
94 98594514 528044 2936
95 99012249 417735 3406
96 99430130 417881 3835
97 99908133 478003 4210
98 100000000 91868 0
99 99791073 601035 298
100 99999982 208928 0
101 99763102 581977 260
102 99548300 573150 566
103 99322594 611631 824
104 99122810 540421 1153
105 98922991 531338 1480
106 98720833 596875 1622
107 98544612 518564 1959
108 98460177 305877 2617
109 98224248 610246 2820
110 98852457 628209 2992
111 98647166 584560 2786
112 98454662 536795 3132
113 98269804 605186 2235
114 98136243 414097 2780
115 97936207 520868 3009
116 97739995 526667 3296
117 97571720 497325 3544
118 97768143 196937 4248
119 98457979 689836 4260
120 99142307 684328 4409
121 99829559 687252 4419
122 99999999 170442 0
123 99773563 592690 245
124 99562984 578656 551
125 99353110 571408 872
126 99999867 646757 1087
127 99771867 591025 250
128 99557931 579980 553
129 99327382 597459 897
130 99960052 632670 1132
131 100000000 39949 0
132 99778906 591294 297
133 99565674 573482 550
134 99338394 613758 803
135 99223627 557201 1115
136 99024168 550944 1365
137 99657972 633804 1480
138 99999978 342029 0
139 99768350 621613 253
140 99552243 581214 556
141 99347137 557546 879
142 99136116 575214 1140
143 99777329 641213 1343
144 99556540 582586 552
145 99352005 561303 872
146 99187945 615317 1037
147 99081100 386887 1619
148 99446225 365125 2327
149 99902161 455936 2449
150 100000000 97840 0
151 99843617 483557 304
152 100000000 156384 0
153 99786993 587238 294
154 99566445 583817 570
155 100000000 433557 0
156 99777170 582548 304
157 99575094 628219 479
158 99367985 551559 785
159 99176740 546602 1101
160 98966286 600784 1345
161 98770980 507958 1685
162 98586516 562778 2006
163 99221422 634906 2085
164 99911657 690235 2208
165 100000000 88344 0
166 99785886 582870 300
167 99570620 599384 548
168 99999999 429381 0
169 99777047 582940 307
170 99530584 595012 590
171 99246452 463375 1008
172 99066784 554292 1358
173 99703424 636640 1436
174 99999979 296577 0
175 99741571 591178 281
176 99532705 568390 591
177 99327601 539519 920
178 99100641 592135 1183
179 98963948 406736 1777
180 99643947 679999 1815
181 100000000 356054 0
182 99784039 582192 302
